  x + h      approximation    f(x + h)     error
 -0.083              0.952       0.862    -0.089
 -0.082              0.948       0.858    -0.090
 -0.081              0.944       0.853    -0.091
 -0.080              0.941       0.848    -0.092
 -0.079              0.937       0.844    -0.094
 -0.078              0.934       0.839    -0.095
 -0.077              0.930       0.835    -0.096
 -0.076              0.927       0.830    -0.097
 -0.075              0.923       0.825    -0.098
 -0.074              0.920       0.821    -0.099
 -0.073              0.917       0.816    -0.100
 -0.072              0.913       0.812    -0.101
 -0.071              0.910       0.807    -0.103
 -0.070              0.906       0.803    -0.104
 -0.069              0.903       0.798    -0.105
 -0.068              0.900       0.794    -0.106
 -0.067              0.896       0.789    -0.107
 -0.066              0.893       0.785    -0.108
 -0.065              0.890       0.780    -0.110
 -0.064              0.886       0.776    -0.111
 -0.063              0.883       0.771    -0.112
 -0.062              0.880       0.767    -0.113
 -0.061              0.876       0.762    -0.114
 -0.060              0.873       0.758    -0.116
 -0.059              0.870       0.753    -0.117
 -0.058              0.867       0.749    -0.118
 -0.057              0.863       0.744    -0.119
 -0.056              0.860       0.740    -0.120
 -0.055              0.857       0.735    -0.122
 -0.054              0.854       0.731    -0.123
 -0.053              0.850       0.726    -0.124
 -0.052              0.847       0.722    -0.125
 -0.051              0.844       0.717    -0.127
 -0.050              0.841       0.713    -0.128
 -0.049              0.838       0.709    -0.129
 -0.048              0.835       0.704    -0.131
 -0.047              0.832       0.700    -0.132
 -0.046              0.829       0.695    -0.133
 -0.045              0.825       0.691    -0.134
 -0.044              0.822       0.687    -0.136
 -0.043              0.819       0.682    -0.137
 -0.042              0.816       0.678    -0.138
 -0.041              0.813       0.673    -0.140
 -0.040              0.810       0.669    -0.141
 -0.039              0.807       0.665    -0.142
 -0.038              0.804       0.660    -0.144
 -0.037              0.801       0.656    -0.145
 -0.036              0.798       0.652    -0.147
 -0.035              0.795       0.647    -0.148
 -0.034              0.792       0.643    -0.149
 -0.033              0.789       0.639    -0.151
 -0.032              0.787       0.634    -0.152
 -0.031              0.784       0.630    -0.153
 -0.030              0.781       0.626    -0.155
 -0.029              0.778       0.622    -0.156
 -0.028              0.775       0.617    -0.158
 -0.027              0.772       0.613    -0.159
 -0.026              0.769       0.609    -0.161
 -0.025              0.766       0.604    -0.162
 -0.024              0.764       0.600    -0.163
 -0.023              0.761       0.596    -0.165
 -0.022              0.758       0.592    -0.166
 -0.021              0.755       0.588    -0.168
 -0.020              0.753       0.583    -0.169
 -0.019              0.750       0.579    -0.171
 -0.018              0.747       0.575    -0.172
 -0.017              0.744       0.571    -0.174
 -0.016              0.742       0.566    -0.175
 -0.015              0.739       0.562    -0.177
 -0.014              0.736       0.558    -0.178
 -0.013              0.734       0.554    -0.180
 -0.012              0.731       0.550    -0.181
 -0.011              0.728       0.545    -0.183
 -0.010              0.726       0.541    -0.184
 -0.009              0.723       0.537    -0.186
 -0.008              0.720       0.533    -0.187
 -0.007              0.718       0.529    -0.189
 -0.006              0.715       0.525    -0.191
 -0.005              0.713       0.521    -0.192
 -0.004              0.710       0.516    -0.194
 -0.003              0.708       0.512    -0.195
 -0.002              0.705       0.508    -0.197
 -0.001              0.703       0.504    -0.198
  0.000              0.700       0.500    -0.200
  0.001              0.698       0.496    -0.202
  0.002              0.695       0.492    -0.203
  0.003              0.693       0.488    -0.205
  0.004              0.690       0.484    -0.206
  0.005              0.688       0.480    -0.208
  0.006              0.685       0.476    -0.210
  0.007              0.683       0.471    -0.211
  0.008              0.680       0.467    -0.213
  0.009              0.678       0.463    -0.215
  0.010              0.676       0.459    -0.216
  0.011              0.673       0.455    -0.218
  0.012              0.671       0.451    -0.220
  0.013              0.669       0.447    -0.221
  0.014              0.666       0.443    -0.223
  0.015              0.664       0.439    -0.225
  0.016              0.662       0.435    -0.226
  0.017              0.659       0.431    -0.228
  0.018              0.657       0.427    -0.230
  0.019              0.655       0.423    -0.232
  0.020              0.653       0.419    -0.233
  0.021              0.650       0.415    -0.235
  0.022              0.648       0.411    -0.237
  0.023              0.646       0.407    -0.238
  0.024              0.644       0.403    -0.240
  0.025              0.641       0.399    -0.242
  0.026              0.639       0.396    -0.244
  0.027              0.637       0.392    -0.246
  0.028              0.635       0.388    -0.247
  0.029              0.633       0.384    -0.249
  0.030              0.631       0.380    -0.251
  0.031              0.629       0.376    -0.253
  0.032              0.627       0.372    -0.254
  0.033              0.624       0.368    -0.256
  0.034              0.622       0.364    -0.258
  0.035              0.620       0.360    -0.260
  0.036              0.618       0.357    -0.262
  0.037              0.616       0.353    -0.264
  0.038              0.614       0.349    -0.265
  0.039              0.612       0.345    -0.267
  0.040              0.610       0.341    -0.269
  0.041              0.608       0.337    -0.271
  0.042              0.606       0.333    -0.273
  0.043              0.604       0.330    -0.275
  0.044              0.602       0.326    -0.277
  0.045              0.600       0.322    -0.278
  0.046              0.599       0.318    -0.280
  0.047              0.597       0.314    -0.282
  0.048              0.595       0.311    -0.284
  0.049              0.593       0.307    -0.286
  0.050              0.591       0.303    -0.288
  0.051              0.589       0.299    -0.290
  0.052              0.587       0.295    -0.292
  0.053              0.585       0.292    -0.294
  0.054              0.584       0.288    -0.296
  0.055              0.582       0.284    -0.298
  0.056              0.580       0.280    -0.300
  0.057              0.578       0.277    -0.302
  0.058              0.577       0.273    -0.304
  0.059              0.575       0.269    -0.306
  0.060              0.573       0.266    -0.308
  0.061              0.571       0.262    -0.310
  0.062              0.570       0.258    -0.312
  0.063              0.568       0.254    -0.314
  0.064              0.566       0.251    -0.316
  0.065              0.565       0.247    -0.318
